,Nama.Latin,ANJA,ANJAS,SMM,KAL,PMP,PPM,ANJAP
1,-,0,0,0,0,0,0,0
2,Acanthophis laevis,0,0,0,0,1,2,0
3,Accipiter cirrocephalus,0,0,0,0,0,0,0
4,Accipiter gularis,0,0,11,0,0,0,0
5,Accipiter novaehollandiae,0,0,0,0,1,20,24
6,Accipiter poliocephalus,0,0,0,0,0,0,0
7,Aceros undulatus,0,0,0,0,0,0,0
8,Acridotheres javanicus,0,0,0,10,0,0,0
10,Acridotheres tristis,0,0,0,0,0,0,0
11,Acrochordus cf. arafurae,0,0,0,0,0,0,0
12,Actenoides concretus,0,0,0,0,0,0,0
13,Actitis hypoleucos,0,0,0,0,0,0,3
14,Aegithina tiphia,0,0,0,0,0,0,0
15,Aegithina viridissima,0,0,0,0,0,0,0
16,Aethopyga siparaja,0,1,0,0,0,0,0
17,Ahaetulla prasina,0,0,1,0,0,0,0
18,Alap-Alap,0,0,0,0,0,0,0
19,Alcedo atthis,0,0,0,0,0,0,0
20,Alcedo azurea,0,0,0,0,0,0,2
21,Alcedo coerulescens,0,1,10,0,0,0,0
22,Alcedo meninting,0,0,0,22,0,0,0
23,Alcedo pusilla,0,0,0,0,0,0,0
24,Alophoixus ochraceus,0,0,0,0,0,0,0
25,Amatthusia Phidippus,0,0,0,0,0,0,0
26,Amaurornis cinerea,0,0,0,0,0,0,0
27,Amaurornis moluccana,0,0,0,0,0,0,0
28,Amaurornis olivaceus,0,0,0,0,0,0,0
29,Amaurornis phoenicurus,0,0,7,16,0,0,0
30,Ameles decolor,0,0,0,0,0,0,0
31,Anabas testudineus,0,0,0,0,0,0,0
32,Anak Burung,0,0,0,0,0,0,0
33,Anas gibberifrons,0,0,0,0,0,0,0
34,Ancistroides nigrita,0,0,0,0,0,0,0
35,Ancylis albacostana,0,0,0,0,0,0,0
36,Anhinga melanogaster,0,0,0,0,0,0,0
37,Anorrhinus galeritus,0,0,0,0,0,0,0
38,Anthracoceros albirostris,0,10,0,0,0,0,0
39,Anthracoceros malayanus,0,0,2,4,0,0,0
40,Anthracoceros sp,0,0,0,0,0,0,0
41,Anthreptes malacensis,0,0,0,2,0,0,0
42,Anthreptes rhodolaemus,0,0,0,0,0,0,0
43,Anthreptes simplex,0,0,0,0,0,0,0
44,Anthreptes singalensis,0,0,1,0,0,0,0
45,Anthroloceros Malayanus,0,0,0,0,0,0,0
46,Anthus novaeseelandiae,0,0,0,3,0,0,0
47,Aonyx cinereus,0,1,0,0,0,0,0
48,Apis andreniformis,0,0,0,0,0,0,0
49,Apis sp,0,0,0,0,0,0,0
50,Aplonis cantoroides,0,0,0,0,0,0,0
51,Aplonis magna,0,0,0,0,0,112,0
52,Aplonis metallica,0,0,0,0,0,0,354
53,Aplonis panayensis,0,1,0,0,0,0,0
54,Apodemus sylvaticus,0,0,0,0,0,5,0
55,Apodora papuana,0,0,0,0,0,1,0
56,Apus pacificus,0,0,0,0,0,0,0
57,Arachnothera longirostra,0,0,0,0,0,0,0
58,Ardea alba,0,0,0,0,0,6,7
59,Ardea purpurea,3,1,3,0,0,0,0
60,Ardea sumatrana,0,0,0,0,0,1,0
61,Ardeola bacchus,0,0,0,0,0,0,0
62,Ardeola speciosa,0,0,0,0,0,0,0
63,Argusianus argus,0,0,0,0,0,0,0
64,Aromia Moschata,0,0,0,0,0,0,0
65,Arses telescophthalmus,0,0,0,0,0,0,0
66,Artamus leucorynchus,0,0,0,0,0,0,0
67,Athyma perius,0,0,0,0,0,0,0
68,Attacus atlas,0,0,0,0,0,0,0
69,Aviceda subcristata,0,0,0,0,0,32,2
70,Ayam hutan,0,1,0,0,0,0,0
71,Bajing,0,0,0,0,0,0,0
72,Bangau,55,5,0,0,0,0,0
73,Batrachostomus stellatus,0,0,0,0,0,0,0
74,Belalang Mantthis,0,0,0,0,0,0,0
75,Belibis,0,0,0,0,0,0,0
76,Berang-Berang,0,0,0,2,0,0,0
77,Beruk ekor pendek,0,2,0,0,0,0,0
78,Boiga dendrophila,0,0,0,0,0,0,0
79,Broghammerus timorensis,0,0,0,0,0,0,0
80,Bronchocela jubata,0,0,0,0,0,0,0
81,Bubulcus ibis,0,0,15,0,0,0,0
82,Buceros bicornis,0,0,0,0,0,0,0
83,Buceros rhinoceros,0,6,0,5,0,0,0
84,Bungarus candidus,0,0,0,0,0,0,0
85,Burung beo,0,0,0,0,2,0,0
86,Burung Bubut,0,1,0,0,0,0,0
87,Burung Cucur Udang,0,0,0,0,0,0,0
88,Burung elang,0,0,0,0,0,0,0
89,Burung Elang,0,0,0,0,0,0,0
90,Burung Hantu,0,2,0,0,2,0,0
91,Burung Jalak,0,0,0,0,0,0,0
92,Burung kuntul putih,0,0,0,0,2,0,0
93,Burung madu   ,0,0,0,0,2,0,0
94,Burung nuri,0,0,0,0,2,0,0
96,Burung pelatuk ,0,0,0,0,0,0,0
98,Burung warna putih,0,0,0,0,0,0,0
99,Butastur liventer,0,0,0,0,0,0,0
100,Butorides striatus,0,0,1,0,0,0,0
101,Cacatua galerita,0,0,0,0,2,0,95
102,Cacatua sp,0,0,0,0,0,0,0
103,Cacatua sulphurea,0,0,0,0,0,38,0
104,Cacomantis merulinus,0,1,0,0,0,0,0
105,Cacomantis sepulcralis,0,0,0,0,0,0,0
106,Cacomantis sonneratii,0,0,0,0,0,0,0
107,Cacomantis variolosus,0,0,0,0,0,0,1
108,Caelifera,0,0,0,0,0,0,0
109,Calidaris alba,0,0,0,0,0,0,0
110,Calidris subminuta,0,0,0,0,0,0,0
111,Callosciurus notatus,0,0,0,0,0,0,0
112,Callosciurus prevostii,0,0,0,5,0,0,0
113,Calloselasma rhodostoma,0,0,0,0,0,0,0
