Nama.Latin,ANJA,ANJAS,SMM,KAL,PMP,PPM,ANJAP
Acanthophis laevis,0,0,0,0,0,2,0
Accipiter cirrocephalus,0,0,0,0,0,0,0
Accipiter gularis,0,0,6,0,0,0,0
Accipiter novaehollandiae,0,0,0,0,1,9,16
Accipiter poliocephalus,0,0,0,0,0,0,0
Aceros undulatus,0,0,0,0,0,0,0
Acridotheres javanicus,0,0,0,13,0,0,0
Acridotheres tristis,0,0,0,0,0,0,0
Acrochordus cf. arafurae,0,0,0,0,0,0,0
Actenoides concretus,0,0,0,0,0,0,0
Actitis hypoleucos,0,0,0,0,0,0,11
Aegithina tiphia,0,2,0,0,0,0,0
Aegithina viridissima,0,1,0,0,0,0,0
Aethopyga siparaja,0,0,0,0,0,0,0
Ahaetulla prasina,0,0,0,0,0,0,0
Alap-Alap,0,0,0,0,0,0,0
Alcedo atthis,0,3,0,0,0,0,0
Alcedo azurea,0,0,0,0,0,0,1
Alcedo coerulescens,0,4,19,0,0,0,0
Alcedo meninting,0,0,1,22,0,0,0
Alcedo pusilla,0,0,0,0,0,0,0
Alophoixus ochraceus,0,0,0,0,0,0,0
Amatthusia Phidippus,0,0,0,0,0,0,0
Amaurornis cinerea,0,0,0,0,0,0,0
Amaurornis moluccana,0,0,0,0,0,0,0
Amaurornis olivaceus,0,0,0,0,0,0,0
Amaurornis phoenicurus,1,0,12,11,0,0,0
Ameles decolor,0,0,0,0,0,0,0
Anabas testudineus,0,0,0,0,0,0,0
Anak Burung,0,0,0,0,0,0,0
Anas gibberifrons,0,0,0,0,0,0,0
Ancistroides nigrita,0,0,0,0,0,0,0
Ancylis albacostana,0,0,0,0,0,0,0
Anhinga melanogaster,0,0,0,0,0,0,0
Anorrhinus galeritus,0,0,0,0,0,0,0
Anthracoceros albirostris,0,6,0,0,0,0,0
Anthracoceros malayanus,0,0,5,3,0,0,0
Anthracoceros sp,0,0,0,0,0,0,0
Anthreptes malacensis,0,0,0,1,0,0,0
Anthreptes rhodolaemus,0,0,0,0,0,0,0
Anthreptes simplex,0,0,0,0,0,0,0
Anthreptes singalensis,0,1,0,0,0,0,0
Anthroloceros Malayanus,0,0,0,0,0,0,0
Apis andreniformis,0,0,0,0,0,0,0
Apis sp,0,0,0,0,0,0,0
Aplonis cantoroides,0,0,0,0,0,0,0
Aplonis magna,0,0,0,0,0,67,0
Aplonis metallica,0,0,0,0,0,0,291
Aplonis panayensis,0,0,0,0,0,0,0
Apodemus sylvaticus,0,0,0,0,0,3,0
Apodora papuana,0,0,0,0,1,0,0
Apus pacificus,0,0,0,0,0,0,0
Arachnothera longirostra,0,1,0,0,0,0,0
Ardea alba,0,0,0,0,2,8,1
Ardea purpurea,3,0,2,0,0,0,0
Ardea sumatrana,0,0,0,0,0,0,0
Ardeola bacchus,0,0,0,0,0,0,0
Ardeola speciosa,0,0,0,0,0,0,0
Argusianus argus,0,0,0,1,0,0,0
Aromia Moschata,0,0,0,0,0,0,0
Arses telescophthalmus,0,0,0,0,0,0,0
Artamus leucorynchus,1,0,0,0,0,0,0
Athyma perius,0,0,0,0,0,0,0
Attacus atlas,0,1,0,0,0,0,0
Aviceda subcristata,0,0,0,0,0,7,2
Bajing,0,0,0,0,0,0,0
Bangau,0,5,0,0,0,0,0
Batrachostomus stellatus,0,0,0,0,0,0,0
Belalang Mantthis,0,0,0,0,0,0,0
Belibis,0,0,0,0,0,0,0
Berang-Berang,0,0,0,2,0,0,0
Boiga dendrophila,0,1,0,0,0,0,0
Broghammerus timorensis,0,0,0,0,0,0,0
Bronchocela jubata,0,0,0,1,0,0,0
Bubulcus ibis,0,0,8,0,0,0,0
Buceros bicornis,0,0,0,0,0,0,0
Buceros rhinoceros,0,10,0,5,0,0,0
Bungarus candidus,0,0,0,0,0,0,0
Burung Bubut,2,0,0,0,0,0,0
Burung Cucur Udang,0,0,0,0,0,0,0
Burung elang,0,0,0,0,1,0,0
Burung Elang,0,0,0,0,0,0,0
Burung Hantu,0,1,0,0,2,0,0
Burung Jalak,0,0,0,0,0,0,0
Burung Nuri,0,0,0,0,0,0,0
Burung pelatuk ,0,0,0,0,0,0,0
Burung warna putih,0,0,0,0,0,0,0
Butastur liventer,0,0,0,0,0,0,0
Butorides striatus,0,0,0,0,0,0,0
Cacatua galerita,0,0,0,0,4,0,63
Cacatua sp,0,0,0,0,0,0,0
Cacatua sulphurea,0,0,0,0,0,19,0
Cacomantis merulinus,0,0,0,0,0,0,0
Cacomantis sepulcralis,0,0,0,0,0,0,0
Cacomantis sonneratii,0,1,0,0,0,0,0
Cacomantis variolosus,0,0,0,0,0,0,1
Calidaris alba,0,0,0,0,0,0,0
Callosciurus notatus,0,0,0,0,0,0,0
Callosciurus prevostii,0,0,0,4,0,0,0
Calloselasma rhodostoma,0,0,0,0,0,0,0
Calotes sp,0,0,0,0,0,0,0
Candoia aspera,0,0,0,0,0,0,0
Capung,0,0,0,0,0,0,1
Capung Cokelat Bata,0,0,0,0,0,0,0
Carlia fusca,0,1,0,0,0,4,0
Carterocephalus palaemon,0,0,0,0,0,0,0
Casuarius casuarius,0,0,0,0,9,0,5
Casuarius unappendiculatus,0,0,0,0,0,0,0
Cekarang Belukar,0,0,0,0,0,0,0
Celeus brachyurus,0,0,0,0,0,0,0
Centropus bengalensis,0,1,0,0,0,0,0
Centropus bernsteini,0,0,0,0,0,1,12
Centropus rectunguis,0,0,0,0,0,0,0
Centropus sinensis,0,0,0,14,0,0,0
Cercopithecidae,0,0,0,0,0,0,0
Cervus timorensis,0,0,0,0,11,0,3
cethosia penthesilea,0,1,0,0,0,0,0
Ceyx rufidorsa,0,0,0,0,0,0,0
Chalcites ruficollis,0,0,0,0,0,0,0
Chalcophaps indica,0,1,1,0,0,0,0
Chalcophaps stephani,0,0,0,0,0,0,1
Chalcopsitta atra,0,0,0,0,3,66,45
Channa micropeltes,0,0,0,0,0,0,0
Channa striata,0,0,0,0,0,0,0
Charmosyna papou,0,0,0,0,0,0,0
Charmosyna placentis,0,0,0,0,0,0,61
Charmosyna rubrigularis,0,0,0,0,0,0,0
Chersonesia rahria,0,0,0,0,0,0,0
Chilopoda,0,0,0,0,0,0,0
Chlidonias hybridus,0,0,0,0,0,0,3
Chloropsis cochinchinensis,0,0,0,0,0,0,0
Chloropsis cyanopogon,0,1,0,0,0,0,0
Chloropsis sonnerati,0,4,0,0,0,0,0
Chrysococcyx ruficollis,0,0,0,0,0,0,0
Chrysopelea paradisi,0,0,0,0,0,0,0
Chrysophlegma miniaceum,0,0,0,0,0,0,0
Ciconia ciconia,17,0,0,0,0,0,0
Ciconia episcopus,0,1,0,0,0,0,0
Ciconiidae 1,0,0,0,0,0,0,0
Ciconiidae sp,0,0,0,0,0,0,0
Cinnyris jugularis,0,0,1,0,0,2,2
Clarias sp,0,0,0,0,0,0,0
Cocomantis flabeliformis,0,0,0,0,0,0,2
Coelagnatus Radiatus,0,0,0,0,0,0,0
Collocalia esculenta,1,0,0,0,0,7,2
Collocalia Maxima,0,0,0,0,0,0,0
Colluricinclam megarhyncha,0,0,0,0,0,0,0
Colossoma macropomum,0,0,0,0,0,0,0
Columba livia,4,0,0,0,0,0,0
Common sp,0,0,0,0,0,0,0
Copsychus malabaricus,0,0,0,0,0,0,0
Copsychus saularis,0,5,0,0,0,0,0
Coracina melaena,0,0,0,0,0,0,0
Coracina papuensis,0,0,0,0,0,18,5
Corvus enca,0,2,0,30,0,0,0
Cosymbotus platyurus,0,0,0,0,0,0,0
Coturnix chinensis,0,0,10,0,0,0,0
Craseonycteris thonglongyai,0,0,0,0,0,0,3
Crateroscelis muriana,0,0,0,0,0,0,1
Crocodylus novaeguineae,0,0,0,0,7,0,0
Crocodylus porosus,0,0,0,0,0,0,0
Crocothemis servilia,0,0,0,0,0,0,0
Cucak Ijo,0,0,0,0,0,0,0
Cucak Ijo Besar,0,0,0,0,0,0,0
Cuculus saturatus,0,0,0,0,0,1,0
Cuora amboinensis,0,0,0,0,0,0,0
Cuora amboinensis couro,2,0,0,0,0,0,0
Cuora amboninensis,0,0,0,0,0,0,0
Cyclopsitta diophthalma,0,0,0,0,0,0,42
Cyclopsitta gulielmitertii,0,0,0,0,0,0,5
Cymbirhynchus macrorhynchos,0,0,0,0,0,0,0
Cynopterus titthaecheilus,0,0,0,0,0,0,2
Dacelo gaudichaud,0,0,0,0,0,1,18
Danaidae,0,0,0,0,0,0,0
