,Nama.Latin,closestMatch,ANJA,ANJAS,SMM,KAL,PMP,PPM,ANJAP,sum
1,-,0,0,0,0,0,0,0,0,0
2,Acanthophis laevis,0,0,0,0,0,0,1,0,1
3,Accipiter cirrocephalus,0,0,0,0,0,0,0,0,0
4,Accipiter gularis,0,0,0,8,0,0,0,0,8
5,Accipiter novaehollandiae,0,0,0,0,0,0,17,24,41
6,Accipiter poliocephalus,0,0,0,0,0,0,0,0,0
7,Aceros undulatus,0,0,0,0,0,0,0,0,0
8,Acridotheres javanicus,Acridotheres Javanicus,0,0,0,1,0,0,0,1
10,Acridotheres tristis,0,0,0,0,0,0,0,0,0
11,Acrochordus cf. arafurae,0,0,0,0,0,0,0,0,0
12,Actenoides concretus,0,0,0,0,0,0,0,0,0
13,Actitis hypoleucos,0,0,0,0,0,0,0,18,18
14,Aegithina tiphia,0,0,0,0,0,0,0,0,0
15,Aethopyga siparaja,0,0,0,0,0,0,0,0,0
16,Ahaetulla prasina,0,0,0,0,0,0,0,0,0
17,Alap-Alap,0,0,0,0,0,0,0,0,0
18,Alcedo atthis,0,0,0,1,0,0,0,0,1
19,Alcedo azurea,0,0,1,0,0,0,0,2,3
20,Alcedo coerulescens,0,0,1,8,0,0,0,0,9
21,Alcedo meninting,0,0,0,38,26,0,0,0,64
22,Alcedo pusilla,0,0,0,0,0,0,0,2,2
23,Alophoixus ochraceus,0,0,0,0,0,0,0,0,0
24,Amatthusia Phidippus,0,0,0,0,0,0,0,0,0
25,Amaurornis cinerea,0,0,0,0,0,0,6,0,6
26,Amaurornis moluccana,0,0,0,0,0,0,1,0,1
27,Amaurornis olivaceus,0,0,0,0,0,0,0,3,3
28,Amaurornis phoenicurus,0,0,0,14,8,0,0,0,22
29,Ameles decolor,0,0,0,0,0,0,0,0,0
30,Anabas testudineus,0,0,0,0,0,0,0,0,0
31,Anak Burung,0,0,0,0,0,0,0,0,0
32,Anas gibberifrons,0,0,0,0,0,0,0,0,0
33,Ancistroides nigrita,0,0,0,0,0,0,0,0,0
34,Ancylis albacostana,0,0,0,0,0,0,0,0,0
35,Anhinga melanogaster,0,0,0,0,0,0,0,0,0
36,Anorrhinus galeritus,0,0,4,0,0,0,0,0,4
37,Anthracoceros albirostris,0,0,5,0,0,0,0,0,5
38,Anthracoceros malayanus,0,0,0,1,7,0,0,0,8
39,Anthracoceros sp,0,0,0,0,0,0,0,0,0
40,Anthreptes malacensis,0,0,0,0,2,0,0,0,2
41,Anthreptes rhodolaemus,0,0,0,0,0,0,0,0,0
42,Anthreptes simplex,0,0,0,0,0,0,0,0,0
43,Anthreptes singalensis,0,0,0,0,0,0,0,0,0
44,Anthroloceros Malayanus,0,0,0,0,0,0,0,0,0
45,Apis andreniformis,0,0,0,0,0,0,0,0,0
46,Apis sp,0,0,0,0,0,0,0,0,0
47,Aplonis cantoroides,0,0,0,0,0,0,0,0,0
48,Aplonis magna,0,0,0,0,0,0,52,0,52
49,Aplonis metallica,0,0,0,0,0,10,0,252,262
50,Aplonis panayensis,0,0,0,0,0,0,0,0,0
51,Apodemus sylvaticus,0,0,0,0,0,0,2,0,2
52,Apodora papuana,0,0,0,0,0,0,0,0,0
53,Apus pacificus,0,0,0,0,0,0,0,0,0
54,Arachnothera longirostra,0,0,0,0,0,0,0,0,0
55,Ardea alba,0,0,0,0,0,0,15,0,15
56,Ardea purpurea,0,1,0,0,0,0,0,0,1
57,Ardea sumatrana,0,0,0,0,0,0,0,0,0
58,Ardeola bacchus,0,0,0,1,0,0,0,0,1
59,Ardeola speciosa,0,0,0,0,0,0,0,0,0
60,Argusianus argus,0,0,0,0,4,0,0,0,4
61,Aromia Moschata,0,0,0,0,0,0,0,0,0
62,Arses telescophthalmus,0,0,0,0,0,0,0,5,5
63,Athyma perius,0,0,0,0,0,0,0,0,0
64,Attacus atlas,0,0,0,0,0,0,1,0,1
65,Aviceda subcristata,0,0,0,0,0,3,8,2,13
66,Bajing,0,0,0,0,0,0,0,0,0
67,Bangau,0,0,9,0,0,0,0,0,9
68,Batrachostomus stellatus,0,0,0,0,0,0,0,0,0
69,Belalang Mantthis,0,0,0,0,0,0,0,0,0
70,Belibis,0,0,0,0,0,0,0,0,0
71,Berang-Berang,0,0,0,0,3,0,0,0,3
72,Boiga dendrophila,0,0,0,0,0,0,0,0,0
73,Broghammerus timorensis,0,0,0,0,0,1,0,0,1
74,Bronchocela jubata,0,0,0,0,0,0,0,0,0
75,Bubulcus ibis,0,0,0,15,0,0,0,0,15
76,Buceros bicornis,0,0,0,0,0,0,0,0,0
77,Buceros rhinoceros,0,0,15,0,8,0,0,0,23
78,Bungarus candidus,0,0,0,0,0,0,0,0,0
79,Burung Bubut,0,1,0,0,0,0,0,0,1
80,Burung Cucur Udang,0,0,1,0,0,0,0,0,1
81,Burung elang,Burung Elang,0,0,0,0,0,0,0,0
82,Burung Elang,0,0,0,0,0,0,0,0,0
83,Burung Hantu,0,0,0,0,0,0,0,0,0
84,Burung Jalak,0,0,3,0,0,0,0,0,3
