Common_name,Forest_A,Forest_B,Rustic_A,Rustic_B,Polyculture_A,Polyculture_B,Intensive_B
Ada,1,0,0,0,0,0,1
Albert,0,0,0,0,0,3,0
Alice,0,0,0,2,8,10,16
Anna,15,4,15,1,4,0,0
Annie,0,0,0,0,1,3,1
Arthur,0,0,0,0,0,1,0
Bert,0,0,0,1,0,3,0
Bertha,1,1,0,0,0,0,1
Charlie,0,0,0,1,0,1,0
Clara,1,0,0,0,0,0,0
Clarence,6,9,7,1,3,1,2
Cora,0,0,3,0,0,0,0
Daisy,2,0,2,4,0,0,0
Daniel,0,0,0,0,0,1,0
David,0,0,0,0,0,2,5
Edith,1,10,6,16,5,12,19
Elizabeth,5,0,1,0,0,0,0
Elmer,0,0,0,1,0,0,1
Emma,0,0,2,0,0,0,0
Ernest,2,0,1,1,2,0,0
Ethel,10,9,5,0,0,0,0
Eva,2,0,0,0,0,0,0
Fannie,0,0,0,7,0,14,0
Florence,1,2,0,10,0,2,1
Frances,0,0,0,1,0,0,0
Francis,5,13,5,1,3,0,2
Frank,8,12,4,0,0,0,0
Frederick,0,1,0,0,0,0,0
Gertrude,0,0,0,0,0,0,2
Hattie,0,0,1,1,1,0,0
Henry,3,5,7,1,0,0,0
Herbert,1,1,0,0,0,0,0
Howard,1,0,0,0,0,0,0
Ida,0,0,0,3,0,0,1
Jacob,10,10,4,1,0,0,0
James,0,0,0,0,0,0,5
Jennie,0,0,0,2,0,5,0
Jesse,1,0,0,0,0,0,0
Jim,0,1,0,0,0,0,0
Joe,3,0,13,7,11,17,7
Josephine,0,0,5,6,3,3,6
Julia,0,0,0,0,0,0,4
Lee,0,0,0,1,0,5,0
Lena,0,1,0,0,0,0,0
Lewis,0,0,1,2,1,0,3
Lillian,0,0,0,1,0,0,0
Lillie,1,4,1,4,6,4,4
Louise,5,0,0,0,0,0,0
Lucy,3,4,11,2,6,0,0
Lula,0,0,1,7,2,5,1
Mabel,1,4,1,2,1,0,2
Maggie,1,3,0,1,0,0,0
Margaret,3,0,7,3,6,15,4
Martha,1,1,4,0,0,0,0
Martin,2,0,5,0,0,0,0
Mary,1,0,0,0,0,0,0
Mattie,1,0,0,2,1,0,0
Maude,6,5,4,1,0,2,1
Myrtle,0,0,0,1,0,0,1
Oscar,0,4,0,4,0,2,2
Pearl,4,0,5,3,0,2,0
Rose,6,8,2,3,0,0,0
Roy,0,2,0,2,0,2,0
Samuel,0,0,0,1,0,5,0
Sarah,0,0,0,6,4,4,6
Tom,0,0,0,2,0,2,1
Will,4,0,0,0,0,0,0
William,0,0,1,0,0,1,0
